,iso_code,country,year,Energy Type,Energy Consumption (TwH)
451,OWID_WRL,World,1976,other_renewable_consumption,106.836
671,OWID_WRL,World,1976,primary_energy_consumption,70403.161
506,OWID_WRL,World,1976,renewables_consumption,4115.547
561,OWID_WRL,World,1976,solar_consumption,0.0
616,OWID_WRL,World,1976,wind_consumption,0.0
12,OWID_WRL,World,1977,biofuel_consumption,0.0
67,OWID_WRL,World,1977,coal_consumption,19241.309
782,OWID_WRL,World,1977,energy_per_capita,17256.216
727,OWID_WRL,World,1977,energy_per_gdp,2.449
122,OWID_WRL,World,1977,fossil_fuel_consumption,67216.572
177,OWID_WRL,World,1977,gas_consumption,12760.638
232,OWID_WRL,World,1977,hydro_consumption,4143.536
287,OWID_WRL,World,1977,low_carbon_consumption,5752.177
342,OWID_WRL,World,1977,nuclear_consumption,1495.967
397,OWID_WRL,World,1977,oil_consumption,35214.625
452,OWID_WRL,World,1977,other_renewable_consumption,112.674
672,OWID_WRL,World,1977,primary_energy_consumption,72985.271
507,OWID_WRL,World,1977,renewables_consumption,4256.209
562,OWID_WRL,World,1977,solar_consumption,0.0
617,OWID_WRL,World,1977,wind_consumption,0.0
13,OWID_WRL,World,1978,biofuel_consumption,0.0
68,OWID_WRL,World,1978,coal_consumption,19457.913
783,OWID_WRL,World,1978,energy_per_capita,17549.601
728,OWID_WRL,World,1978,energy_per_gdp,2.429
123,OWID_WRL,World,1978,fossil_fuel_consumption,69179.136
178,OWID_WRL,World,1978,gas_consumption,13295.429
233,OWID_WRL,World,1978,hydro_consumption,4484.414
288,OWID_WRL,World,1978,low_carbon_consumption,6342.096
343,OWID_WRL,World,1978,nuclear_consumption,1738.319
398,OWID_WRL,World,1978,oil_consumption,36425.795
453,OWID_WRL,World,1978,other_renewable_consumption,119.354
673,OWID_WRL,World,1978,primary_energy_consumption,75542.854
508,OWID_WRL,World,1978,renewables_consumption,4603.776
563,OWID_WRL,World,1978,solar_consumption,0.0
618,OWID_WRL,World,1978,wind_consumption,0.008
14,OWID_WRL,World,1979,biofuel_consumption,0.0
69,OWID_WRL,World,1979,coal_consumption,20363.547
784,OWID_WRL,World,1979,energy_per_capita,17847.088
729,OWID_WRL,World,1979,energy_per_gdp,2.42
124,OWID_WRL,World,1979,fossil_fuel_consumption,71507.525
179,OWID_WRL,World,1979,gas_consumption,14119.884
234,OWID_WRL,World,1979,hydro_consumption,4708.863
289,OWID_WRL,World,1979,low_carbon_consumption,6645.073
344,OWID_WRL,World,1979,nuclear_consumption,1807.946
399,OWID_WRL,World,1979,oil_consumption,37024.093
454,OWID_WRL,World,1979,other_renewable_consumption,128.248
674,OWID_WRL,World,1979,primary_energy_consumption,78179.278
509,OWID_WRL,World,1979,renewables_consumption,4837.128
564,OWID_WRL,World,1979,solar_consumption,0.0
619,OWID_WRL,World,1979,wind_consumption,0.017
15,OWID_WRL,World,1980,biofuel_consumption,0.0
70,OWID_WRL,World,1980,coal_consumption,20857.619
785,OWID_WRL,World,1980,energy_per_capita,17413.264
730,OWID_WRL,World,1980,energy_per_gdp,2.345
125,OWID_WRL,World,1980,fossil_fuel_consumption,70672.85
180,OWID_WRL,World,1980,gas_consumption,14237.999
235,OWID_WRL,World,1980,hydro_consumption,4810.15
290,OWID_WRL,World,1980,low_carbon_consumption,6924.929
345,OWID_WRL,World,1980,nuclear_consumption,1977.569
400,OWID_WRL,World,1980,oil_consumption,35577.233
455,OWID_WRL,World,1980,other_renewable_consumption,137.182
675,OWID_WRL,World,1980,primary_energy_consumption,77628.384
510,OWID_WRL,World,1980,renewables_consumption,4947.36
565,OWID_WRL,World,1980,solar_consumption,0.0
620,OWID_WRL,World,1980,wind_consumption,0.029
16,OWID_WRL,World,1981,biofuel_consumption,0.0
71,OWID_WRL,World,1981,coal_consumption,21149.69
786,OWID_WRL,World,1981,energy_per_capita,17030.072
731,OWID_WRL,World,1981,energy_per_gdp,2.313
126,OWID_WRL,World,1981,fossil_fuel_consumption,69840.694
181,OWID_WRL,World,1981,gas_consumption,14395.129
236,OWID_WRL,World,1981,hydro_consumption,4913.625
291,OWID_WRL,World,1981,low_carbon_consumption,7396.727
346,OWID_WRL,World,1981,nuclear_consumption,2335.421
401,OWID_WRL,World,1981,oil_consumption,34295.875
456,OWID_WRL,World,1981,other_renewable_consumption,147.652
676,OWID_WRL,World,1981,primary_energy_consumption,77265.383
511,OWID_WRL,World,1981,renewables_consumption,5061.306
566,OWID_WRL,World,1981,solar_consumption,0.0
621,OWID_WRL,World,1981,wind_consumption,0.029
17,OWID_WRL,World,1982,biofuel_consumption,0.0
72,OWID_WRL,World,1982,coal_consumption,21384.44
787,OWID_WRL,World,1982,energy_per_capita,16631.477
732,OWID_WRL,World,1982,energy_per_gdp,2.292
127,OWID_WRL,World,1982,fossil_fuel_consumption,69051.151
182,OWID_WRL,World,1982,gas_consumption,14468.777
237,OWID_WRL,World,1982,hydro_consumption,5002.529
292,OWID_WRL,World,1982,low_carbon_consumption,7706.883
347,OWID_WRL,World,1982,nuclear_consumption,2533.829
402,OWID_WRL,World,1982,oil_consumption,33197.934
457,OWID_WRL,World,1982,other_renewable_consumption,170.474
677,OWID_WRL,World,1982,primary_energy_consumption,76793.964
512,OWID_WRL,World,1982,renewables_consumption,5173.054
567,OWID_WRL,World,1982,solar_consumption,0.0
622,OWID_WRL,World,1982,wind_consumption,0.051
18,OWID_WRL,World,1983,biofuel_consumption,0.0
73,OWID_WRL,World,1983,coal_consumption,22045.022
788,OWID_WRL,World,1983,energy_per_capita,16605.477
733,OWID_WRL,World,1983,energy_per_gdp,2.282
128,OWID_WRL,World,1983,fossil_fuel_consumption,69716.562
183,OWID_WRL,World,1983,gas_consumption,14702.803
238,OWID_WRL,World,1983,hydro_consumption,5216.03
293,OWID_WRL,World,1983,low_carbon_consumption,8276.773
348,OWID_WRL,World,1983,nuclear_consumption,2871.704
403,OWID_WRL,World,1983,oil_consumption,32968.737
458,OWID_WRL,World,1983,other_renewable_consumption,188.939
678,OWID_WRL,World,1983,primary_energy_consumption,78038.587
513,OWID_WRL,World,1983,renewables_consumption,5405.069
568,OWID_WRL,World,1983,solar_consumption,0.008
623,OWID_WRL,World,1983,wind_consumption,0.091
19,OWID_WRL,World,1984,biofuel_consumption,0.0
74,OWID_WRL,World,1984,coal_consumption,22999.527
789,OWID_WRL,World,1984,energy_per_capita,17095.12
734,OWID_WRL,World,1984,energy_per_gdp,2.31
129,OWID_WRL,World,1984,fossil_fuel_consumption,72639.879
184,OWID_WRL,World,1984,gas_consumption,15901.561
239,OWID_WRL,World,1984,hydro_consumption,5392.714
294,OWID_WRL,World,1984,low_carbon_consumption,9088.908
349,OWID_WRL,World,1984,nuclear_consumption,3484.915
404,OWID_WRL,World,1984,oil_consumption,33738.791
459,OWID_WRL,World,1984,other_renewable_consumption,211.137
679,OWID_WRL,World,1984,primary_energy_consumption,81783.257
514,OWID_WRL,World,1984,renewables_consumption,5603.993
569,OWID_WRL,World,1984,solar_consumption,0.018
624,OWID_WRL,World,1984,wind_consumption,0.124
20,OWID_WRL,World,1985,biofuel_consumption,0.0
75,OWID_WRL,World,1985,coal_consumption,23986.182
790,OWID_WRL,World,1985,energy_per_capita,17235.385
735,OWID_WRL,World,1985,energy_per_gdp,2.3
130,OWID_WRL,World,1985,fossil_fuel_consumption,74036.273
185,OWID_WRL,World,1985,gas_consumption,16260.907
240,OWID_WRL,World,1985,hydro_consumption,5499.379
295,OWID_WRL,World,1985,low_carbon_consumption,9851.576
350,OWID_WRL,World,1985,nuclear_consumption,4135.897
405,OWID_WRL,World,1985,oil_consumption,33789.184
460,OWID_WRL,World,1985,other_renewable_consumption,216.09
680,OWID_WRL,World,1985,primary_energy_consumption,83952.22
515,OWID_WRL,World,1985,renewables_consumption,5715.68
570,OWID_WRL,World,1985,solar_consumption,0.033
625,OWID_WRL,World,1985,wind_consumption,0.178
21,OWID_WRL,World,1986,biofuel_consumption,0.0
76,OWID_WRL,World,1986,coal_consumption,24256.05
791,OWID_WRL,World,1986,energy_per_capita,17296.598
736,OWID_WRL,World,1986,energy_per_gdp,2.27
131,OWID_WRL,World,1986,fossil_fuel_consumption,75478.664
186,OWID_WRL,World,1986,gas_consumption,16419.892
241,OWID_WRL,World,1986,hydro_consumption,5573.815
296,OWID_WRL,World,1986,low_carbon_consumption,10241.787
351,OWID_WRL,World,1986,nuclear_consumption,4429.825
406,OWID_WRL,World,1986,oil_consumption,34802.722
461,OWID_WRL,World,1986,other_renewable_consumption,237.72
681,OWID_WRL,World,1986,primary_energy_consumption,85800.949
516,OWID_WRL,World,1986,renewables_consumption,5811.962
571,OWID_WRL,World,1986,solar_consumption,0.042
626,OWID_WRL,World,1986,wind_consumption,0.386
22,OWID_WRL,World,1987,biofuel_consumption,0.0
77,OWID_WRL,World,1987,coal_consumption,25210.286
792,OWID_WRL,World,1987,energy_per_capita,17574.466
737,OWID_WRL,World,1987,energy_per_gdp,2.259
132,OWID_WRL,World,1987,fossil_fuel_consumption,77990.38
187,OWID_WRL,World,1987,gas_consumption,17280.611
242,OWID_WRL,World,1987,hydro_consumption,5649.189
297,OWID_WRL,World,1987,low_carbon_consumption,10723.032
352,OWID_WRL,World,1987,nuclear_consumption,4818.707
407,OWID_WRL,World,1987,oil_consumption,35499.484
462,OWID_WRL,World,1987,other_renewable_consumption,254.564
682,OWID_WRL,World,1987,primary_energy_consumption,88795.377
517,OWID_WRL,World,1987,renewables_consumption,5904.325
572,OWID_WRL,World,1987,solar_consumption,0.029
627,OWID_WRL,World,1987,wind_consumption,0.543
23,OWID_WRL,World,1988,biofuel_consumption,0.0
78,OWID_WRL,World,1988,coal_consumption,25964.647
793,OWID_WRL,World,1988,energy_per_capita,17916.469
738,OWID_WRL,World,1988,energy_per_gdp,2.248
133,OWID_WRL,World,1988,fossil_fuel_consumption,80755.347
188,OWID_WRL,World,1988,gas_consumption,18087.621
243,OWID_WRL,World,1988,hydro_consumption,5829.785
298,OWID_WRL,World,1988,low_carbon_consumption,11346.1
353,OWID_WRL,World,1988,nuclear_consumption,5253.474
408,OWID_WRL,World,1988,oil_consumption,36703.079
463,OWID_WRL,World,1988,other_renewable_consumption,261.891
683,OWID_WRL,World,1988,primary_energy_consumption,92187.866
518,OWID_WRL,World,1988,renewables_consumption,6092.626
573,OWID_WRL,World,1988,solar_consumption,0.028
